partid,partid0,period_id,treat_id,treat_id_label,treatment_code,promo_id,promo_yn,promo_yn_code,ext_impact_id,ext_impact_pn,ext_impact_pn_code,frcast_type_id,frcast_type_ab,frcast_type_code,forecaster_id,forecaster_type,forecaster_type_code,forecaster,forecaster_code,stat_frcast,experts,part_frcast,actual_sales,stat_mape,part_mape,abs_perc_error,adjustment,abs_scaled_error,expert_ape
2,Human,19,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,550,2450,2345,2667,79.38,15.64,12.07,1795,0.38,8.14
2,Human,20,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,3199,3000,2900,3330,3.93,15.64,12.91,-299,0.13,9.91
2,Human,21,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,2973,3000,3200,3001,0.93,15.64,6.63,227,0.07,0.03
2,Human,22,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,2367,4400,4000,4001,40.84,15.64,0.02,1633,0,9.97
2,Human,23,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1152,2000,1800,2490,53.73,15.64,27.71,648,0.55,19.68
2,Human,24,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,2520,2300,2600,2506,0.56,15.64,3.75,80,0.06,8.22
3,Human,1,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,127,740,500,746,82.98,11.18,32.98,373,0.96,0.8
3,Human,2,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,4601,4400,4300,3768,22.11,11.18,14.12,-301,0.79,16.77
3,Human,3,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,2243,2350,2400,2480,9.56,11.18,3.23,157,0.04,5.24
3,Human,4,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,602,1991,750,2029,70.33,11.18,63.04,148,1.82,1.87
3,Human,5,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,410,3500,3600,3601,88.61,11.18,0.03,3190,0,2.8
3,Human,6,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,1702,1530,1550,1499,13.54,11.18,3.4,-152,0.03,2.07
3,Human,7,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,1006,2150,2000,2320,56.64,11.18,13.79,994,0.29,7.33
3,Human,8,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,3556,4527,4500,4434,19.8,11.18,1.49,944,0.02,2.1
3,Human,9,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,4324,4000,4300,3698,16.93,11.18,16.28,-24,0.15,8.17
3,Human,10,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,2044,2050,1700,1906,7.24,11.18,10.81,-344,0.18,7.56
3,Human,11,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,900,890,1017,23.3,11.18,12.49,110,0.15,11.5
3,Human,12,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,1353,1300,1350,1260,7.38,11.18,7.14,-3,0.06,3.17
3,Human,13,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1752,2400,2400,2449,28.46,11.18,2,648,0.02,2
3,Human,14,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3321,3500,3100,3301,0.61,11.18,6.09,-221,0.09,6.03
3,Human,15,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,427,510,390,521,18.04,11.18,25.14,-37,0.26,2.11
3,Human,16,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,850,820,796,2.01,11.18,3.02,40,0.05,6.78
3,Human,17,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3831,4155,4200,3980,3.74,11.18,5.53,369,0.08,4.4
3,Human,18,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,4211,3988,4200,3999,5.3,11.18,5.03,-11,0.11,0.28
3,Human,19,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,550,2450,2500,2667,79.38,11.18,6.26,1950,0.2,8.14
3,Human,20,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,3199,3000,3000,3330,3.93,11.18,9.91,-199,0.1,9.91
3,Human,21,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,2973,3000,3200,3001,0.93,11.18,6.63,227,0.07,0.03
3,Human,22,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,2367,4400,4000,4001,40.84,11.18,0.02,1633,0,9.97
3,Human,23,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1152,2000,2000,2490,53.73,11.18,19.68,848,0.39,19.68
3,Human,24,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,2520,2300,2500,2506,0.56,11.18,0.24,-20,0,8.22
4,Human,1,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,127,740,680,746,82.98,10.34,8.85,553,0.26,0.8
4,Human,2,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,4601,4400,4500,3768,22.11,10.34,19.43,-101,1.09,16.77
4,Human,3,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,2243,2350,2350,2480,9.56,10.34,5.24,107,0.06,5.24
4,Human,4,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,602,1991,1000,2029,70.33,10.34,50.71,398,1.46,1.87
4,Human,5,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,410,3500,3650,3601,88.61,10.34,1.36,3240,0.06,2.8
4,Human,6,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,1702,1530,1650,1499,13.54,10.34,10.07,-52,0.1,2.07
4,Human,7,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,1006,2150,2100,2320,56.64,10.34,9.48,1094,0.2,7.33
4,Human,8,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,3556,4527,4480,4434,19.8,10.34,1.04,924,0.01,2.1
4,Human,9,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,4324,4000,4300,3698,16.93,10.34,16.28,-24,0.15,8.17
4,Human,10,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,2044,2050,1650,1906,7.24,10.34,13.43,-394,0.22,7.56
4,Human,11,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,900,1000,1017,23.3,10.34,1.67,220,0.02,11.5
4,Human,12,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,1353,1300,1350,1260,7.38,10.34,7.14,-3,0.06,3.17
4,Human,13,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1752,2400,2200,2449,28.46,10.34,10.17,448,0.13,2
4,Human,14,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3321,3500,3000,3301,0.61,10.34,9.12,-321,0.13,6.03
4,Human,15,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,427,510,475,521,18.04,10.34,8.83,48,0.09,2.11
4,Human,16,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,850,880,796,2.01,10.34,10.55,100,0.19,6.78
4,Human,17,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3831,4155,4300,3980,3.74,10.34,8.04,469,0.12,4.4
4,Human,18,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,4211,3988,4188,3999,5.3,10.34,4.73,-23,0.1,0.28
4,Human,19,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,550,2450,2250,2667,79.38,10.34,15.64,1700,0.5,8.14
4,Human,20,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,3199,3000,2800,3330,3.93,10.34,15.92,-399,0.17,9.91
4,Human,21,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,2973,3000,3100,3001,0.93,10.34,3.3,127,0.03,0.03
4,Human,22,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,2367,4400,4200,4001,40.84,10.34,4.97,1833,0.07,9.97
4,Human,23,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1152,2000,2600,2490,53.73,10.34,4.42,1448,0.09,19.68
4,Human,24,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,2520,2300,2700,2506,0.56,10.34,7.74,180,0.13,8.22
5,Human,1,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,127,740,600,746,82.98,13.83,19.57,473,0.57,0.8
5,Human,3,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,2243,2350,2100,2480,9.56,13.83,15.32,-143,0.19,5.24
5,Human,5,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,410,3500,3400,3601,88.61,13.83,5.58,2990,0.24,2.8
5,Human,6,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,1702,1530,1400,1499,13.54,13.83,6.6,-302,0.06,2.07
5,Human,7,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,1006,2150,2200,2320,56.64,13.83,5.17,1194,0.11,7.33
5,Human,8,1,Yes-promo_Positive-impact_Baseline-forecast,1,1,yes promo,1,1,positive,1,0,baseline,0,1,human,1,Human,1,3556,4527,4000,4434,19.8,13.83,9.79,444,0.13,2.1
5,Human,9,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,4324,4000,3900,3698,16.93,13.83,5.46,-424,0.05,8.17
5,Human,10,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,2044,2050,2500,1906,7.24,13.83,31.16,456,0.51,7.56
5,Human,11,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,900,1000,1017,23.3,13.83,1.67,220,0.02,11.5
5,Human,12,6,No-promo_Negative-impact_Baseline-forecast,6,0,no promo,0,0,negative,0,0,baseline,0,1,human,1,Human,1,1353,1300,1300,1260,7.38,13.83,3.17,-53,0.03,3.17
5,Human,13,3,Yes-promo_Negative-impact_Baseline-forecast,3,1,yes promo,1,0,negative,0,0,baseline,0,1,human,1,Human,1,1752,2400,2300,2449,28.46,13.83,6.08,548,0.07,2
5,Human,14,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3321,3500,3000,3301,0.61,13.83,9.12,-321,0.13,6.03
5,Human,15,5,No-promo_Positive-impact_Baseline-forecast,5,0,no promo,0,1,positive,1,0,baseline,0,1,human,1,Human,1,427,510,500,521,18.04,13.83,4.03,73,0.04,2.11
5,Human,16,2,Yes-promo_Positive-impact_Advanced-forecast,2,1,yes promo,1,1,positive,1,1,advanced,1,1,human,1,Human,1,780,850,830,796,2.01,13.83,4.27,50,0.08,6.78
5,Human,17,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,3831,4155,4000,3980,3.74,13.83,0.5,169,0.01,4.4
5,Human,18,4,Yes-promo_Negative-impact_Advanced-forecast,4,1,yes promo,1,0,negative,0,1,advanced,1,1,human,1,Human,1,4211,3988,4000,3999,5.3,13.83,0.03,-211,0,0.28
